# reimpl: cobevtbench model=cobevt_camera_static dataset=opv2v_camera
# 627 tensors, 26323909 parameters

backbone.layers.2.2.bn1.weight	[256]
backbone.layers.2.2.bn1.bias	[256]
backbone.layers.2.2.bn1.running_mean	[256]
backbone.layers.2.2.bn1.running_var	[256]
backbone.layers.2.2.bn1.num_batches_tracked	[]
backbone.layers.2.2.conv2.weight	[256, 256, 3, 3]
backbone.layers.2.2.bn2.weight	[256]
backbone.layers.2.2.bn2.bias	[256]
backbone.layers.2.2.bn2.running_mean	[256]
backbone.layers.2.2.bn2.running_var	[256]
backbone.layers.2.2.bn2.num_batches_tracked	[]
backbone.layers.2.3.conv1.weight	[256, 256, 3, 3]
backbone.layers.2.3.bn1.weight	[256]
backbone.layers.2.3.bn1.bias	[256]
backbone.layers.2.3.bn1.running_mean	[256]
backbone.layers.2.3.bn1.running_var	[256]
backbone.layers.2.3.bn1.num_batches_tracked	[]
backbone.layers.2.3.conv2.weight	[256, 256, 3, 3]
backbone.layers.2.3.bn2.weight	[256]
backbone.layers.2.3.bn2.bias	[256]
backbone.layers.2.3.bn2.running_mean	[256]
backbone.layers.2.3.bn2.running_var	[256]
backbone.layers.2.3.bn2.num_batches_tracked	[]
backbone.layers.2.4.conv1.weight	[256, 256, 3, 3]
backbone.layers.2.4.bn1.weight	[256]
backbone.layers.2.4.bn1.bias	[256]
backbone.layers.2.4.bn1.running_mean	[256]
backbone.layers.2.4.bn1.running_var	[256]
backbone.layers.2.4.bn1.num_batches_tracked	[]
backbone.layers.2.4.conv2.weight	[256, 256, 3, 3]
backbone.layers.2.4.bn2.weight	[256]
backbone.layers.2.4.bn2.bias	[256]
backbone.layers.2.4.bn2.running_mean	[256]
backbone.layers.2.4.bn2.running_var	[256]
backbone.layers.2.4.bn2.num_batches_tracked	[]
backbone.layers.2.5.conv1.weight	[256, 256, 3, 3]
backbone.layers.2.5.bn1.weight	[256]
backbone.layers.2.5.bn1.bias	[256]
backbone.layers.2.5.bn1.running_mean	[256]
backbone.layers.2.5.bn1.running_var	[256]
backbone.layers.2.5.bn1.num_batches_tracked	[]
backbone.layers.2.5.conv2.weight	[256, 256, 3, 3]
backbone.layers.2.5.bn2.weight	[256]
backbone.layers.2.5.bn2.bias	[256]
backbone.layers.2.5.bn2.running_mean	[256]
backbone.layers.2.5.bn2.running_var	[256]
backbone.layers.2.5.bn2.num_batches_tracked	[]
backbone.layers.3.0.conv1.weight	[512, 256, 3, 3]
backbone.layers.3.0.bn1.weight	[512]
backbone.layers.3.0.bn1.bias	[512]
backbone.layers.3.0.bn1.running_mean	[512]
backbone.layers.3.0.bn1.running_var	[512]
backbone.layers.3.0.bn1.num_batches_tracked	[]
backbone.layers.3.0.conv2.weight	[512, 512, 3, 3]
backbone.layers.3.0.bn2.weight	[512]
backbone.layers.3.0.bn2.bias	[512]
backbone.layers.3.0.bn2.running_mean	[512]
backbone.layers.3.0.bn2.running_var	[512]
backbone.layers.3.0.bn2.num_batches_tracked	[]
backbone.layers.3.0.downsample.0.weight	[512, 256, 1, 1]
backbone.layers.3.0.downsample.1.weight	[512]
backbone.layers.3.0.downsample.1.bias	[512]
backbone.layers.3.0.downsample.1.running_mean	[512]
backbone.layers.3.0.downsample.1.running_var	[512]
backbone.layers.3.0.downsample.1.num_batches_tracked	[]
backbone.layers.3.1.conv1.weight	[512, 512, 3, 3]
backbone.layers.3.1.bn1.weight	[512]
backbone.layers.3.1.bn1.bias	[512]
backbone.layers.3.1.bn1.running_mean	[512]
backbone.layers.3.1.bn1.running_var	[512]
backbone.layers.3.1.bn1.num_batches_tracked	[]
backbone.layers.3.1.conv2.weight	[512, 512, 3, 3]
backbone.layers.3.1.bn2.weight	[512]
backbone.layers.3.1.bn2.bias	[512]
backbone.layers.3.1.bn2.running_mean	[512]
backbone.layers.3.1.bn2.running_var	[512]
backbone.layers.3.1.bn2.num_batches_tracked	[]
backbone.layers.3.2.conv1.weight	[512, 512, 3, 3]
backbone.layers.3.2.bn1.weight	[512]
backbone.layers.3.2.bn1.bias	[512]
backbone.layers.3.2.bn1.running_mean	[512]
backbone.layers.3.2.bn1.running_var	[512]
backbone.layers.3.2.bn1.num_batches_tracked	[]
backbone.layers.3.2.conv2.weight	[512, 512, 3, 3]
backbone.layers.3.2.bn2.weight	[512]
backbone.layers.3.2.bn2.bias	[512]
backbone.layers.3.2.bn2.running_mean	[512]
backbone.layers.3.2.bn2.running_var	[512]
backbone.layers.3.2.bn2.num_batches_tracked	[]
sinbevt.bev_prior	[128, 128, 128]
sinbevt.geometries.0.cam_embed.weight	[128, 4, 1, 1]
sinbevt.geometries.0.img_embed.weight	[128, 4, 1, 1]
sinbevt.geometries.0.bev_embed.weight	[128, 2, 1, 1]
sinbevt.geometries.1.cam_embed.weight	[128, 4, 1, 1]
sinbevt.geometries.1.img_embed.weight	[128, 4, 1, 1]
sinbevt.geometries.2.cam_embed.weight	[128, 4, 1, 1]
sinbevt.geometries.2.img_embed.weight	[128, 4, 1, 1]
sinbevt.blocks.0.feature_proj.0.weight	[128]
sinbevt.blocks.0.feature_proj.0.bias	[128]
sinbevt.blocks.0.feature_proj.0.running_mean	[128]
sinbevt.blocks.0.feature_proj.0.running_var	[128]
sinbevt.blocks.0.feature_proj.0.num_batches_tracked	[]
sinbevt.blocks.0.feature_proj.2.weight	[128, 128, 1, 1]
sinbevt.blocks.0.feature_linear.0.weight	[128]
sinbevt.blocks.0.feature_linear.0.bias	[128]
sinbevt.blocks.0.feature_linear.0.running_mean	[128]
sinbevt.blocks.0.feature_linear.0.running_var	[128]
sinbevt.blocks.0.feature_linear.0.num_batches_tracked	[]
sinbevt.blocks.0.feature_linear.2.weight	[128, 128, 1, 1]
sinbevt.blocks.0.local_attend.qkv.to_q.0.weight	[128]
sinbevt.blocks.0.local_attend.qkv.to_q.0.bias	[128]
sinbevt.blocks.0.local_attend.qkv.to_q.1.weight	[128, 128]
sinbevt.blocks.0.local_attend.qkv.to_q.1.bias	[128]
sinbevt.blocks.0.local_attend.qkv.to_k.0.weight	[128]
sinbevt.blocks.0.local_attend.qkv.to_k.0.bias	[128]
sinbevt.blocks.0.local_attend.qkv.to_k.1.weight	[128, 128]
sinbevt.blocks.0.local_attend.qkv.to_k.1.bias	[128]
sinbevt.blocks.0.local_attend.qkv.to_v.0.weight	[128]
sinbevt.blocks.0.local_attend.qkv.to_v.0.bias	[128]
sinbevt.blocks.0.local_attend.qkv.to_v.1.weight	[128, 128]
sinbevt.blocks.0.local_attend.qkv.to_v.1.bias	[128]
sinbevt.blocks.0.local_attend.to_out.weight	[128, 128]
sinbevt.blocks.0.global_attend.qkv.to_q.0.weight	[128]
sinbevt.blocks.0.global_attend.qkv.to_q.0.bias	[128]
sinbevt.blocks.0.global_attend.qkv.to_q.1.weight	[128, 128]
sinbevt.blocks.0.global_attend.qkv.to_q.1.bias	[128]
sinbevt.blocks.0.global_attend.qkv.to_k.0.weight	[128]
sinbevt.blocks.0.global_attend.qkv.to_k.0.bias	[128]
sinbevt.blocks.0.global_attend.qkv.to_k.1.weight	[128, 128]
sinbevt.blocks.0.global_attend.qkv.to_k.1.bias	[128]
sinbevt.blocks.0.global_attend.qkv.to_v.0.weight	[128]
sinbevt.blocks.0.global_attend.qkv.to_v.0.bias	[128]
sinbevt.blocks.0.global_attend.qkv.to_v.1.weight	[128, 128]
sinbevt.blocks.0.global_attend.qkv.to_v.1.bias	[128]
sinbevt.blocks.0.global_attend.to_out.weight	[128, 128]
sinbevt.blocks.0.prenorm_local.weight	[128]
sinbevt.blocks.0.prenorm_local.bias	[128]
sinbevt.blocks.0.mlp_local.fc1.weight	[256, 128]
sinbevt.blocks.0.mlp_local.fc1.bias	[256]
sinbevt.blocks.0.mlp_local.fc2.weight	[128, 256]
sinbevt.blocks.0.mlp_local.fc2.bias	[128]
sinbevt.blocks.0.prenorm_global.weight	[128]
sinbevt.blocks.0.prenorm_global.bias	[128]
sinbevt.blocks.0.mlp_global.fc1.weight	[256, 128]
sinbevt.blocks.0.mlp_global.fc1.bias	[256]
sinbevt.blocks.0.mlp_global.fc2.weight	[128, 256]
sinbevt.blocks.0.mlp_global.fc2.bias	[128]
sinbevt.blocks.0.postnorm.weight	[128]
sinbevt.blocks.0.postnorm.bias	[128]
sinbevt.blocks.1.feature_proj.0.weight	[256]
sinbevt.blocks.1.feature_proj.0.bias	[256]
sinbevt.blocks.1.feature_proj.0.running_mean	[256]
sinbevt.blocks.1.feature_proj.0.running_var	[256]
sinbevt.blocks.1.feature_proj.0.num_batches_tracked	[]
sinbevt.blocks.1.feature_proj.2.weight	[128, 256, 1, 1]
sinbevt.blocks.1.feature_linear.0.weight	[256]
sinbevt.blocks.1.feature_linear.0.bias	[256]
sinbevt.blocks.1.feature_linear.0.running_mean	[256]
sinbevt.blocks.1.feature_linear.0.running_var	[256]
sinbevt.blocks.1.feature_linear.0.num_batches_tracked	[]
sinbevt.blocks.1.feature_linear.2.weight	[128, 256, 1, 1]
sinbevt.blocks.1.local_attend.qkv.to_q.0.weight	[128]
sinbevt.blocks.1.local_attend.qkv.to_q.0.bias	[128]
sinbevt.blocks.1.local_attend.qkv.to_q.1.weight	[128, 128]
sinbevt.blocks.1.local_attend.qkv.to_q.1.bias	[128]
sinbevt.blocks.1.local_attend.qkv.to_k.0.weight	[128]
sinbevt.blocks.1.local_attend.qkv.to_k.0.bias	[128]
sinbevt.blocks.1.local_attend.qkv.to_k.1.weight	[128, 128]
sinbevt.blocks.1.local_attend.qkv.to_k.1.bias	[128]
sinbevt.blocks.1.local_attend.qkv.to_v.0.weight	[128]
sinbevt.blocks.1.local_attend.qkv.to_v.0.bias	[128]
sinbevt.blocks.1.local_attend.qkv.to_v.1.weight	[128, 128]
sinbevt.blocks.1.local_attend.qkv.to_v.1.bias	[128]
sinbevt.blocks.1.local_attend.to_out.weight	[128, 128]
sinbevt.blocks.1.global_attend.qkv.to_q.0.weight	[128]
sinbevt.blocks.1.global_attend.qkv.to_q.0.bias	[128]
sinbevt.blocks.1.global_attend.qkv.to_q.1.weight	[128, 128]
sinbevt.blocks.1.global_attend.qkv.to_q.1.bias	[128]
sinbevt.blocks.1.global_attend.qkv.to_k.0.weight	[128]
sinbevt.blocks.1.global_attend.qkv.to_k.0.bias	[128]
sinbevt.blocks.1.global_attend.qkv.to_k.1.weight	[128, 128]
sinbevt.blocks.1.global_attend.qkv.to_k.1.bias	[128]
sinbevt.blocks.1.global_attend.qkv.to_v.0.weight	[128]
sinbevt.blocks.1.global_attend.qkv.to_v.0.bias	[128]
sinbevt.blocks.1.global_attend.qkv.to_v.1.weight	[128, 128]
sinbevt.blocks.1.global_attend.qkv.to_v.1.bias	[128]
sinbevt.blocks.1.global_attend.to_out.weight	[128, 128]
sinbevt.blocks.1.prenorm_local.weight	[128]
sinbevt.blocks.1.prenorm_local.bias	[128]
sinbevt.blocks.1.mlp_local.fc1.weight	[256, 128]
sinbevt.blocks.1.mlp_local.fc1.bias	[256]
sinbevt.blocks.1.mlp_local.fc2.weight	[128, 256]
sinbevt.blocks.1.mlp_local.fc2.bias	[128]
sinbevt.blocks.1.prenorm_global.weight	[128]
sinbevt.blocks.1.prenorm_global.bias	[128]
sinbevt.blocks.1.mlp_global.fc1.weight	[256, 128]
