# official checkpoint: /local/554122/ckpt/opv2v_zoo/cobevt_camera_dynamic/net_epoch91.pth
# 648 tensors, 27452686 parameters

encoder.encoder.layer3.0.downsample.1.num_batches_tracked	[]
encoder.encoder.layer3.1.conv1.weight	[256, 256, 3, 3]
encoder.encoder.layer3.1.bn1.weight	[256]
encoder.encoder.layer3.1.bn1.bias	[256]
encoder.encoder.layer3.1.bn1.running_mean	[256]
encoder.encoder.layer3.1.bn1.running_var	[256]
encoder.encoder.layer3.1.bn1.num_batches_tracked	[]
encoder.encoder.layer3.1.conv2.weight	[256, 256, 3, 3]
encoder.encoder.layer3.1.bn2.weight	[256]
encoder.encoder.layer3.1.bn2.bias	[256]
encoder.encoder.layer3.1.bn2.running_mean	[256]
encoder.encoder.layer3.1.bn2.running_var	[256]
encoder.encoder.layer3.1.bn2.num_batches_tracked	[]
encoder.encoder.layer3.2.conv1.weight	[256, 256, 3, 3]
encoder.encoder.layer3.2.bn1.weight	[256]
encoder.encoder.layer3.2.bn1.bias	[256]
encoder.encoder.layer3.2.bn1.running_mean	[256]
encoder.encoder.layer3.2.bn1.running_var	[256]
encoder.encoder.layer3.2.bn1.num_batches_tracked	[]
encoder.encoder.layer3.2.conv2.weight	[256, 256, 3, 3]
encoder.encoder.layer3.2.bn2.weight	[256]
encoder.encoder.layer3.2.bn2.bias	[256]
encoder.encoder.layer3.2.bn2.running_mean	[256]
encoder.encoder.layer3.2.bn2.running_var	[256]
encoder.encoder.layer3.2.bn2.num_batches_tracked	[]
encoder.encoder.layer3.3.conv1.weight	[256, 256, 3, 3]
encoder.encoder.layer3.3.bn1.weight	[256]
encoder.encoder.layer3.3.bn1.bias	[256]
encoder.encoder.layer3.3.bn1.running_mean	[256]
encoder.encoder.layer3.3.bn1.running_var	[256]
encoder.encoder.layer3.3.bn1.num_batches_tracked	[]
encoder.encoder.layer3.3.conv2.weight	[256, 256, 3, 3]
encoder.encoder.layer3.3.bn2.weight	[256]
encoder.encoder.layer3.3.bn2.bias	[256]
encoder.encoder.layer3.3.bn2.running_mean	[256]
encoder.encoder.layer3.3.bn2.running_var	[256]
encoder.encoder.layer3.3.bn2.num_batches_tracked	[]
encoder.encoder.layer3.4.conv1.weight	[256, 256, 3, 3]
encoder.encoder.layer3.4.bn1.weight	[256]
encoder.encoder.layer3.4.bn1.bias	[256]
encoder.encoder.layer3.4.bn1.running_mean	[256]
encoder.encoder.layer3.4.bn1.running_var	[256]
encoder.encoder.layer3.4.bn1.num_batches_tracked	[]
encoder.encoder.layer3.4.conv2.weight	[256, 256, 3, 3]
encoder.encoder.layer3.4.bn2.weight	[256]
encoder.encoder.layer3.4.bn2.bias	[256]
encoder.encoder.layer3.4.bn2.running_mean	[256]
encoder.encoder.layer3.4.bn2.running_var	[256]
encoder.encoder.layer3.4.bn2.num_batches_tracked	[]
encoder.encoder.layer3.5.conv1.weight	[256, 256, 3, 3]
encoder.encoder.layer3.5.bn1.weight	[256]
encoder.encoder.layer3.5.bn1.bias	[256]
encoder.encoder.layer3.5.bn1.running_mean	[256]
encoder.encoder.layer3.5.bn1.running_var	[256]
encoder.encoder.layer3.5.bn1.num_batches_tracked	[]
encoder.encoder.layer3.5.conv2.weight	[256, 256, 3, 3]
encoder.encoder.layer3.5.bn2.weight	[256]
encoder.encoder.layer3.5.bn2.bias	[256]
encoder.encoder.layer3.5.bn2.running_mean	[256]
encoder.encoder.layer3.5.bn2.running_var	[256]
encoder.encoder.layer3.5.bn2.num_batches_tracked	[]
encoder.encoder.layer4.0.conv1.weight	[512, 256, 3, 3]
encoder.encoder.layer4.0.bn1.weight	[512]
encoder.encoder.layer4.0.bn1.bias	[512]
encoder.encoder.layer4.0.bn1.running_mean	[512]
encoder.encoder.layer4.0.bn1.running_var	[512]
encoder.encoder.layer4.0.bn1.num_batches_tracked	[]
encoder.encoder.layer4.0.conv2.weight	[512, 512, 3, 3]
encoder.encoder.layer4.0.bn2.weight	[512]
encoder.encoder.layer4.0.bn2.bias	[512]
encoder.encoder.layer4.0.bn2.running_mean	[512]
encoder.encoder.layer4.0.bn2.running_var	[512]
encoder.encoder.layer4.0.bn2.num_batches_tracked	[]
encoder.encoder.layer4.0.downsample.0.weight	[512, 256, 1, 1]
encoder.encoder.layer4.0.downsample.1.weight	[512]
encoder.encoder.layer4.0.downsample.1.bias	[512]
encoder.encoder.layer4.0.downsample.1.running_mean	[512]
encoder.encoder.layer4.0.downsample.1.running_var	[512]
encoder.encoder.layer4.0.downsample.1.num_batches_tracked	[]
encoder.encoder.layer4.1.conv1.weight	[512, 512, 3, 3]
encoder.encoder.layer4.1.bn1.weight	[512]
encoder.encoder.layer4.1.bn1.bias	[512]
encoder.encoder.layer4.1.bn1.running_mean	[512]
encoder.encoder.layer4.1.bn1.running_var	[512]
encoder.encoder.layer4.1.bn1.num_batches_tracked	[]
encoder.encoder.layer4.1.conv2.weight	[512, 512, 3, 3]
encoder.encoder.layer4.1.bn2.weight	[512]
encoder.encoder.layer4.1.bn2.bias	[512]
encoder.encoder.layer4.1.bn2.running_mean	[512]
encoder.encoder.layer4.1.bn2.running_var	[512]
encoder.encoder.layer4.1.bn2.num_batches_tracked	[]
encoder.encoder.layer4.2.conv1.weight	[512, 512, 3, 3]
encoder.encoder.layer4.2.bn1.weight	[512]
encoder.encoder.layer4.2.bn1.bias	[512]
encoder.encoder.layer4.2.bn1.running_mean	[512]
encoder.encoder.layer4.2.bn1.running_var	[512]
encoder.encoder.layer4.2.bn1.num_batches_tracked	[]
encoder.encoder.layer4.2.conv2.weight	[512, 512, 3, 3]
encoder.encoder.layer4.2.bn2.weight	[512]
encoder.encoder.layer4.2.bn2.bias	[512]
encoder.encoder.layer4.2.bn2.running_mean	[512]
encoder.encoder.layer4.2.bn2.running_var	[512]
encoder.encoder.layer4.2.bn2.num_batches_tracked	[]
encoder.encoder.fc.weight	[1000, 512]
encoder.encoder.fc.bias	[1000]
fax.bev_embedding.learned_features	[128, 128, 128]
fax.cross_views.0.feature_linear.0.weight	[128]
fax.cross_views.0.feature_linear.0.bias	[128]
fax.cross_views.0.feature_linear.0.running_mean	[128]
fax.cross_views.0.feature_linear.0.running_var	[128]
fax.cross_views.0.feature_linear.0.num_batches_tracked	[]
fax.cross_views.0.feature_linear.2.weight	[128, 128, 1, 1]
fax.cross_views.0.feature_proj.0.weight	[128]
fax.cross_views.0.feature_proj.0.bias	[128]
fax.cross_views.0.feature_proj.0.running_mean	[128]
fax.cross_views.0.feature_proj.0.running_var	[128]
fax.cross_views.0.feature_proj.0.num_batches_tracked	[]
fax.cross_views.0.feature_proj.2.weight	[128, 128, 1, 1]
fax.cross_views.0.bev_embed.weight	[128, 2, 1, 1]
fax.cross_views.0.bev_embed.bias	[128]
fax.cross_views.0.img_embed.weight	[128, 4, 1, 1]
fax.cross_views.0.cam_embed.weight	[128, 4, 1, 1]
fax.cross_views.0.cross_win_attend_1.to_q.0.weight	[128]
fax.cross_views.0.cross_win_attend_1.to_q.0.bias	[128]
fax.cross_views.0.cross_win_attend_1.to_q.1.weight	[128, 128]
fax.cross_views.0.cross_win_attend_1.to_q.1.bias	[128]
fax.cross_views.0.cross_win_attend_1.to_k.0.weight	[128]
fax.cross_views.0.cross_win_attend_1.to_k.0.bias	[128]
fax.cross_views.0.cross_win_attend_1.to_k.1.weight	[128, 128]
fax.cross_views.0.cross_win_attend_1.to_k.1.bias	[128]
fax.cross_views.0.cross_win_attend_1.to_v.0.weight	[128]
fax.cross_views.0.cross_win_attend_1.to_v.0.bias	[128]
fax.cross_views.0.cross_win_attend_1.to_v.1.weight	[128, 128]
fax.cross_views.0.cross_win_attend_1.to_v.1.bias	[128]
fax.cross_views.0.cross_win_attend_1.proj.weight	[128, 128]
fax.cross_views.0.cross_win_attend_1.proj.bias	[128]
fax.cross_views.0.cross_win_attend_2.to_q.0.weight	[128]
