# official checkpoint: /local/554122/ckpt/v2xvit/net_epoch60.pth
# 304 tensors, 14180427 parameters

pillar_vfe.pfn_layers.0.linear.weight	[64, 10]
shrink_conv.layers.0.double_conv.2.weight	[256, 256, 3, 3]
shrink_conv.layers.0.double_conv.2.bias	[256]
naive_compressor.encoder.0.weight	[8, 256, 3, 3]
naive_compressor.encoder.0.bias	[8]
naive_compressor.encoder.1.weight	[8]
naive_compressor.encoder.1.bias	[8]
naive_compressor.encoder.1.running_mean	[8]
naive_compressor.encoder.1.running_var	[8]
naive_compressor.encoder.1.num_batches_tracked	[]
naive_compressor.decoder.0.weight	[256, 8, 3, 3]
naive_compressor.decoder.0.bias	[256]
naive_compressor.decoder.1.weight	[256]
naive_compressor.decoder.1.bias	[256]
naive_compressor.decoder.1.running_mean	[256]
naive_compressor.decoder.1.running_var	[256]
naive_compressor.decoder.1.num_batches_tracked	[]
naive_compressor.decoder.3.weight	[256, 256, 3, 3]
naive_compressor.decoder.3.bias	[256]
naive_compressor.decoder.4.weight	[256]
naive_compressor.decoder.4.bias	[256]
naive_compressor.decoder.4.running_mean	[256]
naive_compressor.decoder.4.running_var	[256]
naive_compressor.decoder.4.num_batches_tracked	[]
fusion_net.encoder.prior_feed.weight	[256, 259]
fusion_net.encoder.prior_feed.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.0.norm.weight	[256]
fusion_net.encoder.layers.0.0.layers.0.0.norm.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.relation_att	[4, 8, 32, 32]
fusion_net.encoder.layers.0.0.layers.0.0.fn.relation_msg	[4, 8, 32, 32]
fusion_net.encoder.layers.0.0.layers.0.0.fn.k_linears.0.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.k_linears.0.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.k_linears.1.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.k_linears.1.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.q_linears.0.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.q_linears.0.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.q_linears.1.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.q_linears.1.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.v_linears.0.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.v_linears.0.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.v_linears.1.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.v_linears.1.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.a_linears.0.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.a_linears.0.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.a_linears.1.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.0.fn.a_linears.1.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.1.norm.weight	[256]
fusion_net.encoder.layers.0.0.layers.0.1.norm.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.0.pos_embedding	[7, 7]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.0.to_qkv.weight	[768, 256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.0.to_out.0.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.0.to_out.0.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.1.pos_embedding	[15, 15]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.1.to_qkv.weight	[768, 256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.1.to_out.0.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.1.to_out.0.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.2.pos_embedding	[31, 31]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.2.to_qkv.weight	[768, 256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.2.to_out.0.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.pwmsa.2.to_out.0.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.split_attn.fc1.weight	[256, 256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.split_attn.bn1.weight	[256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.split_attn.bn1.bias	[256]
fusion_net.encoder.layers.0.0.layers.0.1.fn.split_attn.fc2.weight	[768, 256]
fusion_net.encoder.layers.0.1.norm.weight	[256]
fusion_net.encoder.layers.0.1.norm.bias	[256]
fusion_net.encoder.layers.0.1.fn.net.0.weight	[256, 256]
fusion_net.encoder.layers.0.1.fn.net.0.bias	[256]
fusion_net.encoder.layers.0.1.fn.net.3.weight	[256, 256]
fusion_net.encoder.layers.0.1.fn.net.3.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.0.norm.weight	[256]
fusion_net.encoder.layers.1.0.layers.0.0.norm.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.relation_att	[4, 8, 32, 32]
fusion_net.encoder.layers.1.0.layers.0.0.fn.relation_msg	[4, 8, 32, 32]
fusion_net.encoder.layers.1.0.layers.0.0.fn.k_linears.0.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.k_linears.0.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.k_linears.1.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.k_linears.1.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.q_linears.0.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.q_linears.0.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.q_linears.1.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.q_linears.1.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.v_linears.0.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.v_linears.0.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.v_linears.1.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.v_linears.1.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.a_linears.0.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.a_linears.0.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.a_linears.1.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.0.fn.a_linears.1.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.1.norm.weight	[256]
fusion_net.encoder.layers.1.0.layers.0.1.norm.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.0.pos_embedding	[7, 7]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.0.to_qkv.weight	[768, 256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.0.to_out.0.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.0.to_out.0.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.1.pos_embedding	[15, 15]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.1.to_qkv.weight	[768, 256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.1.to_out.0.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.1.to_out.0.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.2.pos_embedding	[31, 31]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.2.to_qkv.weight	[768, 256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.2.to_out.0.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.pwmsa.2.to_out.0.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.split_attn.fc1.weight	[256, 256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.split_attn.bn1.weight	[256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.split_attn.bn1.bias	[256]
fusion_net.encoder.layers.1.0.layers.0.1.fn.split_attn.fc2.weight	[768, 256]
fusion_net.encoder.layers.1.1.norm.weight	[256]
fusion_net.encoder.layers.1.1.norm.bias	[256]
fusion_net.encoder.layers.1.1.fn.net.0.weight	[256, 256]
fusion_net.encoder.layers.1.1.fn.net.0.bias	[256]
